date,deaths
1969-01-01,1687
1969-02-01,1508
1969-03-01,1507
1969-04-01,1385
1969-05-01,1632
1969-06-01,1511
1969-07-01,1559
1969-08-01,1630
1969-09-01,1579
1969-10-01,1653
1969-11-01,2152
1969-12-01,2148
1970-01-01,1752
1970-02-01,1765
1970-03-01,1717
1970-04-01,1558
1970-05-01,1575
1970-06-01,1520
1970-07-01,1805
1970-08-01,1800
1970-09-01,1719
1970-10-01,2008
1970-11-01,2242
1970-12-01,2478
1971-01-01,2030
1971-02-01,1655
1971-03-01,1693
1971-04-01,1623
1971-05-01,1805
1971-06-01,1746
1971-07-01,1795
1971-08-01,1926
1971-09-01,1619
1971-10-01,1992
1971-11-01,2233
1971-12-01,2192
1972-01-01,2080
1972-02-01,1768
1972-03-01,1835
1972-04-01,1569
1972-05-01,1976
1972-06-01,1853
1972-07-01,1965
1972-08-01,1689
1972-09-01,1778
1972-10-01,1976
1972-11-01,2397
1972-12-01,2654
1973-01-01,2097
1973-02-01,1963
1973-03-01,1677
1973-04-01,1941
1973-05-01,2003
1973-06-01,1813
1973-07-01,2012
1973-08-01,1912
1973-09-01,2084
1973-10-01,2080
1973-11-01,2118
1973-12-01,2150
1974-01-01,1608
1974-02-01,1503
1974-03-01,1548
1974-04-01,1382
1974-05-01,1731
1974-06-01,1798
1974-07-01,1735
1974-08-01,1618
1974-09-01,1537
1974-10-01,1740
1974-11-01,2407
1974-12-01,2355
1975-01-01,1740
1975-02-01,1514
1975-03-01,1468
1975-04-01,1536
1975-05-01,1736
1975-06-01,1810
1975-07-01,1799
1975-08-01,1752
1975-09-01,1714
1975-10-01,1800
1975-11-01,2225
1975-12-01,2423
1976-01-01,1523
1976-02-01,1410
1976-03-01,1342
1976-04-01,1356
1976-05-01,1572
1976-06-01,1672
1976-07-01,1814
1976-08-01,1748
1976-09-01,1554
1976-10-01,1766
1976-11-01,2251
1976-12-01,2398
1977-01-01,1685
1977-02-01,1491
1977-03-01,1382
1977-04-01,1316
1977-05-01,1585
1977-06-01,1672
1977-07-01,1587
1977-08-01,1604
1977-09-01,1511
1977-10-01,1548
1977-11-01,2019
1977-12-01,2284
1978-01-01,1690
1978-02-01,1479
1978-03-01,1529
1978-04-01,1405
1978-05-01,1681
1978-06-01,1589
1978-07-01,1581
1978-08-01,1420
1978-09-01,1536
1978-10-01,1679
1978-11-01,1956
1978-12-01,2199
1979-01-01,1473
1979-02-01,1423
1979-03-01,1340
1979-04-01,1354
1979-05-01,1473
1979-06-01,1455
1979-07-01,1569
1979-08-01,1534
1979-09-01,1427
1979-10-01,1764
1979-11-01,2060
1979-12-01,2123
1980-01-01,1642
1980-02-01,1561
1980-03-01,1504
1980-04-01,1526
1980-05-01,1596
1980-06-01,1557
1980-07-01,1655
1980-08-01,1476
1980-09-01,1536
1980-10-01,1616
1980-11-01,1994
1980-12-01,2166
1981-01-01,1652
1981-02-01,1436
1981-03-01,1516
1981-04-01,1432
1981-05-01,1575
1981-06-01,1582
1981-07-01,1608
1981-08-01,1614
1981-09-01,1539
1981-10-01,1559
1981-11-01,1753
1981-12-01,2152
1982-01-01,1382
1982-02-01,1310
1982-03-01,1270
1982-04-01,1270
1982-05-01,1518
1982-06-01,1297
1982-07-01,1472
1982-08-01,1449
1982-09-01,1439
1982-10-01,1506
1982-11-01,1873
1982-12-01,1955
1983-01-01,1358
1983-02-01,1382
1983-03-01,1283
1983-04-01,1267
1983-05-01,1316
1983-06-01,1548
1983-07-01,1545
1983-08-01,1546
1983-09-01,1428
1983-10-01,1540
1983-11-01,1893
1983-12-01,2029
1984-01-01,1199
1984-02-01,1170
1984-03-01,1218
1984-04-01,1218
1984-05-01,1324
1984-06-01,1346
1984-07-01,1351
1984-08-01,1381
1984-09-01,1361
1984-10-01,1422
1984-11-01,1620
1984-12-01,1777
