date,gdp_index
2000-01-01,100.4
2000-04-01,101.18
2000-07-01,103.07
2000-10-01,104.99
2001-01-01,104.74
2001-04-01,105.82
2001-07-01,108.25
2001-10-01,108.48
2002-01-01,108.25
2002-04-01,109.71
2002-07-01,109.44
2002-10-01,109.86
2003-01-01,110.76
2003-04-01,109.29
2003-07-01,109.63
2003-10-01,110.71
2004-01-01,110.47
2004-04-01,111.65
2004-07-01,110.82
2004-10-01,110.61
2005-01-01,113.16
2005-04-01,112.14
2005-07-01,112.81
2005-10-01,112.15
2006-01-01,113.5
2006-04-01,114.79
2006-07-01,114.66
2006-10-01,116.86
2007-01-01,117.16
2007-04-01,118.56
2007-07-01,119.54
2007-10-01,122.77
2008-01-01,121.56
2008-04-01,120.01
2008-07-01,120.78
2008-10-01,122.36
2009-01-01,126.66
2009-04-01,126.99
2009-07-01,128.47
2009-10-01,130.55
2010-01-01,131.74
2010-04-01,131.92
2010-07-01,132.21
2010-10-01,132.47
2011-01-01,131.84
2011-04-01,132.68
2011-07-01,133.05
2011-10-01,134.38
2012-01-01,133.91
2012-04-01,132.31
2012-07-01,134.1
2012-10-01,133.69
2013-01-01,133.67
2013-04-01,135.0
2013-07-01,135.72
2013-10-01,136.14
2014-01-01,135.33
2014-04-01,136.47
2014-07-01,137.81
2014-10-01,139.26
2015-01-01,138.12
2015-04-01,138.46
2015-07-01,136.89
2015-10-01,139.02
2016-01-01,143.86
2016-04-01,146.52
2016-07-01,146.57
2016-10-01,148.58
2017-01-01,149.15
2017-04-01,149.35
2017-07-01,151.05
2017-10-01,152.79
2018-01-01,152.2
2018-04-01,154.04
2018-07-01,151.13
2018-10-01,154.21
2019-01-01,153.85
2019-04-01,153.69
2019-07-01,154.08
2019-10-01,152.44
2020-01-01,141.86
2020-04-01,150.32
2020-07-01,160.23
2020-10-01,153.69
2021-01-01,153.57
2021-04-01,154.01
2021-07-01,155.43
2021-10-01,155.35
2022-01-01,155.16
2022-04-01,156.6
2022-07-01,156.99
2022-10-01,158.5
2023-01-01,158.07
2023-04-01,159.36
2023-07-01,160.35
2023-10-01,160.58
