date,ipca_12m
2000-01-01,6.57
2000-02-01,7.03
2000-03-01,7.38
2000-04-01,7.66
2000-05-01,7.59
2000-06-01,8.1
2000-07-01,8.24
2000-08-01,8.16
2000-09-01,8.33
2000-10-01,8.43
2000-11-01,8.75
2000-12-01,8.1
2001-01-01,7.98
2001-02-01,7.73
2001-03-01,7.06
2001-04-01,7.53
2001-05-01,7.5
2001-06-01,8.21
2001-07-01,7.44
2001-08-01,7.65
2001-09-01,7.63
2001-10-01,7.39
2001-11-01,8.18
2001-12-01,8.13
2002-01-01,8.19
2002-02-01,8.81
2002-03-01,10.58
2002-04-01,10.74
2002-05-01,12.27
2002-06-01,13.6
2002-07-01,13.44
2002-08-01,14.29
2002-09-01,14.03
2002-10-01,12.22
2002-11-01,10.26
2002-12-01,9.11
2003-01-01,7.16
2003-02-01,6.06
2003-03-01,4.16
2003-04-01,3.48
2003-05-01,2.6
2003-06-01,2.65
2003-07-01,2.99
2003-08-01,2.46
2003-09-01,3.06
2003-10-01,3.61
2003-11-01,3.01
2003-12-01,3.85
2004-01-01,4.18
2004-02-01,4.64
2004-03-01,4.32
2004-04-01,4.54
2004-05-01,5.3
2004-06-01,5.39
2004-07-01,5.48
2004-08-01,5.58
2004-09-01,5.3
2004-10-01,5.58
2004-11-01,5.59
2004-12-01,5.29
2005-01-01,6.08
2005-02-01,5.71
2005-03-01,5.31
2005-04-01,6.01
2005-05-01,5.72
2005-06-01,6.51
2005-07-01,6.94
2005-08-01,6.7
2005-09-01,7.63
2005-10-01,7.86
2005-11-01,8.39
2005-12-01,9.09
2006-01-01,8.78
2006-02-01,8.91
2006-03-01,9.07
2006-04-01,9.21
2006-05-01,9.46
2006-06-01,9.52
2006-07-01,9.34
2006-08-01,9.26
2006-09-01,8.69
2006-10-01,8.74
2006-11-01,7.8
2006-12-01,8.25
2007-01-01,7.18
2007-02-01,6.3
2007-03-01,5.84
2007-04-01,5.96
2007-05-01,5.45
2007-06-01,5.5
2007-07-01,5.26
2007-08-01,4.99
2007-09-01,4.71
2007-10-01,4.49
2007-11-01,4.83
