date,gas_consumption
1960-01-01,238.6
1960-04-01,90.1
1960-07-01,20.0
1960-10-01,202.4
1961-01-01,298.3
1961-04-01,109.3
1961-07-01,20.0
1961-10-01,212.2
1962-01-01,296.4
1962-04-01,173.7
1962-07-01,20.0
1962-10-01,226.5
1963-01-01,320.7
1963-04-01,192.9
1963-07-01,20.0
1963-10-01,278.8
1964-01-01,350.7
1964-04-01,188.0
1964-07-01,28.4
1964-10-01,285.8
1965-01-01,394.2
1965-04-01,228.8
1965-07-01,31.1
1965-10-01,305.9
1966-01-01,427.2
1966-04-01,247.7
1966-07-01,74.7
1966-10-01,312.1
1967-01-01,424.9
1967-04-01,277.8
1967-07-01,84.0
1967-10-01,336.9
1968-01-01,491.8
1968-04-01,277.1
1968-07-01,109.7
1968-10-01,366.3
1969-01-01,518.2
1969-04-01,316.5
1969-07-01,99.4
1969-10-01,395.1
1970-01-01,513.7
1970-04-01,323.6
1970-07-01,97.9
1970-10-01,404.1
1971-01-01,534.7
1971-04-01,287.6
1971-07-01,101.9
1971-10-01,374.6
1972-01-01,527.7
1972-04-01,333.8
1972-07-01,147.5
1972-10-01,415.8
1973-01-01,567.2
1973-04-01,309.5
1973-07-01,102.9
1973-10-01,421.4
1974-01-01,557.6
1974-04-01,334.9
1974-07-01,98.9
1974-10-01,426.6
1975-01-01,539.4
1975-04-01,348.7
1975-07-01,135.1
1975-10-01,417.5
1976-01-01,556.5
1976-04-01,324.1
1976-07-01,126.3
1976-10-01,447.7
1977-01-01,552.8
1977-04-01,347.0
1977-07-01,115.0
1977-10-01,421.4
1978-01-01,567.4
1978-04-01,321.4
1978-07-01,108.5
1978-10-01,413.3
1979-01-01,597.9
1979-04-01,333.1
1979-07-01,98.3
1979-10-01,430.5
1980-01-01,564.3
1980-04-01,322.9
1980-07-01,108.0
1980-10-01,432.8
1981-01-01,553.7
1981-04-01,309.4
1981-07-01,82.7
1981-10-01,379.1
1982-01-01,532.6
1982-04-01,328.3
1982-07-01,97.7
1982-10-01,400.2
1983-01-01,555.8
1983-04-01,300.4
1983-07-01,103.4
1983-10-01,409.0
1984-01-01,535.1
1984-04-01,267.4
1984-07-01,20.0
1984-10-01,381.7
1985-01-01,513.7
1985-04-01,244.5
1985-07-01,20.0
1985-10-01,347.0
1986-01-01,536.3
1986-04-01,261.2
1986-07-01,20.0
1986-10-01,368.0
