date,gdp_growth,industrial_production,unemployment,cpi,pmi
2000-01-01,,0.243083,0.937760,1.022677,0.087533
2000-02-01,,0.146379,-0.008641,0.497359,0.742493
2000-03-01,1.048281,1.221044,-0.429573,-0.148457,0.966268
2000-04-01,,1.800513,-1.296453,0.764958,1.257914
2000-05-01,,1.590665,-1.855468,0.357930,1.030320
2000-06-01,0.784812,1.489843,-1.507864,-0.293148,-0.664604
2000-07-01,,0.347001,-0.529047,-1.187250,-0.147438
2000-08-01,,0.872503,-0.422725,-2.017072,0.014298
2000-09-01,-0.095938,-0.438779,-0.162110,-1.396946,-0.820110
2000-10-01,,-0.331040,0.053539,-0.771185,-1.582426
2000-11-01,,0.418508,-0.230735,-0.942391,-1.166849
2000-12-01,-0.526586,-0.563627,0.770861,0.239975,-0.539686
2001-01-01,,-0.905125,1.161703,1.299176,-0.980533
2001-02-01,,-0.702184,0.969186,-0.913943,-2.634441
2001-03-01,-0.623290,-0.768990,0.188593,0.349445,-0.625141
2001-04-01,,-0.824411,0.548273,0.036894,-1.751324
2001-05-01,,-0.361400,0.922084,0.354980,-1.138732
2001-06-01,-0.032486,-0.729502,0.623623,-0.731185,-1.004617
2001-07-01,,-0.257727,0.864777,-1.137628,-0.083986
2001-08-01,,-0.718374,0.704910,0.269593,-0.934203
2001-09-01,0.473782,-0.779014,-0.227003,0.390209,0.377709
2001-10-01,,-0.740003,0.262620,-0.546783,-1.354911
2001-11-01,,-1.385487,1.432797,1.033600,-0.035955
2001-12-01,-1.113570,-1.295033,0.770275,0.987706,0.363262
2002-01-01,,-0.972018,1.662409,2.048336,0.948145
2002-02-01,,-1.570564,1.658000,1.491470,-1.553429
2002-03-01,-0.320862,-1.425763,0.928990,1.441811,-1.080894
2002-04-01,,-0.933171,0.244926,0.296734,-0.975481
2002-05-01,,-0.162415,0.724523,0.054960,-1.135484
2002-06-01,-0.353595,-0.833460,0.884147,0.627241,-0.564140
2002-07-01,,0.042778,0.684634,0.000132,-0.163761
2002-08-01,,-0.484190,0.036709,0.764368,0.231674
2002-09-01,-0.711647,-0.596142,1.026771,0.095914,-1.761103
2002-10-01,,-0.337138,-0.130873,0.874567,-1.150585
2002-11-01,,-1.063773,-0.165120,0.087872,-1.217637
2002-12-01,-0.393608,-0.212381,0.555056,-1.129724,-0.933554
2003-01-01,,-0.001982,0.679242,0.529388,-0.506004
2003-02-01,,-0.333415,0.792689,-0.060911,-1.647130
2003-03-01,0.242252,0.168632,0.058121,0.860301,0.675103
2003-04-01,,-0.083979,0.845666,0.885108,1.200831
2003-05-01,,-0.964470,0.828720,1.455709,-0.213927
2003-06-01,-0.133657,-0.084212,0.157897,0.651763,0.851616
2003-07-01,,-1.056074,1.361252,1.149100,1.833781
2003-08-01,,-1.087546,1.699283,0.221804,-0.205828
2003-09-01,-1.372010,-1.652176,1.294417,-1.302083,-0.291942
2003-10-01,,-2.302116,1.672403,-0.697285,-1.274230
2003-11-01,,-1.285250,0.583399,-0.848083,-0.178830
2003-12-01,-0.441289,-0.209539,-0.315746,-1.063887,-0.854260
2004-01-01,,0.057201,-0.576198,-1.804334,-0.240135
2004-02-01,,1.016579,-0.527040,-1.057480,-0.832825
2004-03-01,-0.972507,-0.181422,0.369935,0.146260,-0.692744
2004-04-01,,0.066993,0.292601,-0.104241,-0.317984
2004-05-01,,-0.301380,0.323365,1.263622,-0.381132
2004-06-01,0.789994,1.153603,-1.220247,1.134179,-0.887332
2004-07-01,,0.925983,-1.468880,-0.150436,0.598416
2004-08-01,,1.703589,-1.542235,-0.236568,0.555809
2004-09-01,2.009968,1.981940,-1.124274,0.211984,2.038654
2004-10-01,,1.245172,-0.908144,-0.450706,1.086996
2004-11-01,,0.506482,-0.584278,0.594808,0.940367
2004-12-01,0.929515,0.709886,-0.386664,0.780586,-0.149507
2005-01-01,,1.547593,-1.774683,0.867627,2.396118
2005-02-01,,1.428886,-1.550579,-0.033984,1.431149
2005-03-01,1.567289,1.461196,-1.188860,-0.023787,1.794767
2005-04-01,,1.578811,-2.010431,-0.137666,1.009454
2005-05-01,,0.290032,-0.571821,-0.286307,0.506598
2005-06-01,-0.026704,0.429619,-0.460981,-0.901769,0.452473
2005-07-01,,0.109605,-0.278236,-1.109795,0.509295
2005-08-01,,0.834660,-0.963590,-1.062632,0.692332
2005-09-01,1.285310,0.338520,-0.878323,-0.276847,0.919979
2005-10-01,,0.370044,0.412120,-0.883465,0.686356
2005-11-01,,0.685200,0.157294,-0.083086,2.603051
2005-12-01,0.069514,0.586870,0.179475,2.021217,2.459505
2006-01-01,,0.999843,-0.663768,0.648061,2.662286
2006-02-01,,1.229698,0.390417,0.504759,1.201386
2006-03-01,-0.837259,0.142211,0.243777,1.831000,-0.562943
2006-04-01,,0.427349,-0.564717,0.396465,-0.100475
2006-05-01,,0.440970,-0.972272,0.680492,-0.257982
2006-06-01,0.077472,-0.571326,-0.000911,-0.527014,-1.341283
2006-07-01,,0.307500,-0.095769,-0.123803,-0.850887
2006-08-01,,1.146605,-1.500587,0.413965,-1.102974
2006-09-01,1.169795,1.327430,-1.331060,0.818583,0.525477
2006-10-01,,1.001436,-0.659922,0.113852,-0.728902
2006-11-01,,1.144333,-1.467335,-0.118943,-0.477181
2006-12-01,0.367899,0.884103,-0.739004,-0.295317,0.571137
2007-01-01,,0.816655,-0.890524,-0.839489,1.455163
2007-02-01,,2.215024,-2.205938,-0.135255,0.741217
2007-03-01,1.637061,1.055992,-0.994968,1.025711,0.602414
2007-04-01,,0.602882,-1.160609,0.840734,-0.102569
2007-05-01,,0.664046,-0.585884,-1.055755,-1.006365
2007-06-01,0.639141,0.642157,-1.031799,-1.978219,-0.227944
2007-07-01,,-0.020831,0.011921,-1.627938,0.587969
2007-08-01,,0.424629,-1.390808,-2.326474,1.108597
2007-09-01,0.560964,1.187204,-1.182026,-1.586667,0.618504
2007-10-01,,0.348203,-1.550666,-1.518716,0.082692
2007-11-01,,-0.028563,-0.213697,-1.000460,0.828443
2007-12-01,1.411113,1.148850,-1.346481,-1.696828,1.631060
2008-01-01,,-0.250082,0.304199,-0.835910,1.241333
2008-02-01,,-0.263911,-0.163501,-1.265437,1.144981
2008-03-01,-0.385789,-0.830608,0.205516,-1.525970,0.556684
2008-04-01,,-0.341964,0.338997,-0.796293,0.312012
2008-05-01,,-0.401177,0.419704,0.191163,0.555964
2008-06-01,-0.474170,-0.836318,0.356206,-0.544822,0.705246
2008-07-01,,-0.555706,-0.103149,-0.310037,0.699663
2008-08-01,,0.962040,-0.323215,-0.056859,0.654377
2008-09-01,0.895747,0.423393,-0.383788,-0.492411,1.643478
2008-10-01,,1.231122,-0.832943,0.292947,2.101642
2008-11-01,,0.669800,-0.750071,1.037775,1.310825
2008-12-01,0.565713,0.727464,-0.329575,0.762737,0.383874
2009-01-01,,1.776889,-1.123359,-0.547227,1.948119
2009-02-01,,0.280021,0.102180,-1.020160,1.344141
2009-03-01,0.984253,0.923300,-0.600443,-0.210918,1.550749
2009-04-01,,0.738983,0.297086,-0.618368,0.706080
2009-05-01,,-0.103617,0.026694,1.122175,0.857810
2009-06-01,-1.291290,-0.520671,0.730195,-0.322728,0.321650
2009-07-01,,-0.909238,0.813903,0.184006,0.061857
2009-08-01,,-0.723067,0.294272,-0.362166,-0.369302
2009-09-01,-0.541531,-0.826021,-0.116929,-1.030307,-0.861639
2009-10-01,,-0.889192,0.887113,-1.097131,-0.399242
2009-11-01,,0.091124,-0.001486,-0.055411,-0.710325
2009-12-01,-0.191289,-0.501018,-0.103048,-1.025043,0.067204
2010-01-01,,-0.103625,-0.189188,-0.135532,-0.571938
2010-02-01,,-0.523562,0.024335,0.970883,-0.072510
2010-03-01,0.210337,0.157746,-0.200787,1.683425,-0.056428
2010-04-01,,0.269144,-0.349770,1.121237,-0.585015
2010-05-01,,-0.564772,0.824598,0.605973,-0.252597
2010-06-01,0.933402,0.951951,0.079741,0.584996,1.924174
2010-07-01,,0.039957,0.075389,2.020588,0.670394
2010-08-01,,1.424284,-1.362808,0.752679,0.244044
2010-09-01,0.365123,0.224819,-1.144444,-0.652138,-0.165195
2010-10-01,,-0.505695,-0.281460,-0.438689,-0.368740
2010-11-01,,1.654454,-1.203524,-0.259209,0.444891
2010-12-01,0.663948,0.199208,0.011180,0.514384,-0.806525
2011-01-01,,1.688414,-1.628920,1.221963,-0.290509
2011-02-01,,-0.079792,0.509660,2.090804,-0.136002
2011-03-01,0.812362,-0.076035,-0.937649,0.429014,-0.227581
2011-04-01,,0.950306,-0.715040,0.656165,-0.332939
2011-05-01,,0.543180,-0.764846,0.240693,-0.373509
2011-06-01,0.731017,0.972731,-0.697767,0.336201,0.378865
2011-07-01,,-0.230068,0.300974,-0.872752,-0.040657
2011-08-01,,-0.673609,-0.292217,-1.214394,1.835172
2011-09-01,0.155300,0.092898,-0.494602,0.323316,0.258452
2011-10-01,,1.032187,-0.914862,0.878911,1.324947
2011-11-01,,1.786812,-1.498959,1.774951,2.153794
2011-12-01,1.354638,0.443198,-0.185564,1.681961,1.300710
2012-01-01,,-0.627665,0.881270,0.410153,-0.721374
2012-02-01,,-0.390590,0.298771,1.216125,0.499251
2012-03-01,-0.575447,-0.642437,0.377692,1.577373,-0.905009
2012-04-01,,-1.429446,1.643202,0.930396,-0.035215
2012-05-01,,-1.957439,0.828492,-0.380027,-1.547481
2012-06-01,-1.432888,-1.653727,1.846149,-0.195226,-0.422839
2012-07-01,,-2.374381,1.720883,0.253037,-1.292254
2012-08-01,,-1.645283,2.009929,0.312656,-1.299173
2012-09-01,-2.231951,-1.613062,1.181396,-0.460786,-1.819336
2012-10-01,,-1.429157,1.697029,-1.223283,-2.019228
2012-11-01,,-2.387877,2.196871,0.907235,-1.136862
2012-12-01,-2.338922,-1.781837,2.404318,0.048438,-1.684605
2013-01-01,,-1.772906,2.437693,1.161202,-0.420275
2013-02-01,,-2.129957,1.714657,0.434989,-0.805802
2013-03-01,-3.481070,-3.250959,3.623071,-0.439676,-0.888230
2013-04-01,,-1.764091,1.667099,-0.443318,0.233329
2013-05-01,,-1.372489,1.862556,2.014454,0.733466
2013-06-01,-0.748494,-1.181221,1.286322,-0.042423,-0.417091
2013-07-01,,-0.673435,1.057876,0.322351,-1.877011
2013-08-01,,-1.028838,1.767928,-0.816697,-0.766916
2013-09-01,-0.612256,-0.900594,0.603188,0.043400,0.281763
2013-10-01,,-0.250569,0.558835,-1.005033,1.649577
2013-11-01,,0.168379,0.020102,-1.487886,0.829772
2013-12-01,-0.714024,-0.405822,0.601066,-2.363268,1.209561
2014-01-01,,0.752301,-0.374604,-1.925097,1.340752
2014-02-01,,0.568011,0.593221,-1.683193,0.047001
2014-03-01,-0.813204,0.091503,0.079093,-1.644626,-1.218171
2014-04-01,,0.071470,0.382832,-0.155179,-0.669959
2014-05-01,,-0.769008,1.297715,-1.286966,-0.525120
2014-06-01,-0.186536,-0.573696,0.324604,-1.334339,0.144465
2014-07-01,,0.077550,-0.601121,-1.469824,0.593044
2014-08-01,,-0.241708,-0.028342,-0.985480,-0.749732
2014-09-01,-1.801809,-1.455251,1.255668,-2.269981,-0.898524
2014-10-01,,-0.931095,1.363735,-2.265711,0.079436
2014-11-01,,-2.084395,1.341086,-1.819214,-1.737851
2014-12-01,-2.086704,-1.732963,1.559045,-2.087202,-1.101451
2015-01-01,,-2.933231,2.444177,-0.024251,-1.879276
2015-02-01,,-1.554113,0.905092,-0.859909,-1.515775
2015-03-01,-0.420977,0.361876,-0.465161,-2.311276,-0.933566
2015-04-01,,0.360731,-0.705421,-1.388786,-0.255190
2015-05-01,,-1.076466,0.247055,-1.432404,-1.159722
2015-06-01,0.193471,0.454402,-0.443014,-0.858356,0.097615
2015-07-01,,0.104558,-0.380543,0.139133,-0.278392
2015-08-01,,0.383206,-0.325048,-0.737704,0.304118
2015-09-01,1.167481,1.336759,-0.866817,0.190517,0.969675
2015-10-01,,1.646691,-1.450835,-0.124723,-0.719252
2015-11-01,,0.784904,-1.790945,-1.349668,-0.824234
2015-12-01,0.803253,0.987373,-1.131660,0.568222,-0.070169
2016-01-01,,0.263274,-0.305357,0.053433,-0.753852
2016-02-01,,0.823193,-0.252974,1.071523,-1.216670
2016-03-01,0.660648,0.487196,-1.171475,1.080758,-1.612651
2016-04-01,,0.732264,-0.865143,2.518283,-0.070541
2016-05-01,,0.509013,-0.888751,1.940188,-0.058919
2016-06-01,1.195898,1.222486,-1.456209,0.541084,0.201608
2016-07-01,,1.164932,-1.279321,0.879858,-0.077247
2016-08-01,,1.070793,-1.302792,0.403095,-0.039016
2016-09-01,0.267985,0.483378,-0.566070,0.540930,0.293851
2016-10-01,,0.977424,-1.421261,-0.334726,0.494711
2016-11-01,,1.401788,-2.122838,0.514088,2.263151
2016-12-01,1.064777,0.225095,-0.609039,-1.288741,-0.177145
2017-01-01,,1.298229,-2.033073,0.168076,0.154580
2017-02-01,,1.122856,-1.555669,-0.543043,0.995329
2017-03-01,1.165221,2.138545,-1.022287,-0.010102,2.222309
2017-04-01,,0.655673,-0.528298,0.262847,1.003337
2017-05-01,,2.524924,-1.555854,1.262914,2.509564
2017-06-01,1.392649,1.868140,-1.308175,0.408304,1.336009
2017-07-01,,1.339200,-1.426400,0.875757,1.327652
2017-08-01,,0.275103,0.424014,1.315497,-0.433751
2017-09-01,0.132063,-0.709231,0.182824,0.600078,-0.750501
2017-10-01,,0.342102,-0.017460,0.026939,-0.847352
2017-11-01,,-0.937002,0.400719,0.081167,-0.227195
2017-12-01,-0.341310,-0.549124,0.879635,-0.355311,-0.374897
2018-01-01,,-0.235477,0.736026,-2.315998,-0.791380
2018-02-01,,-1.216694,0.445984,-1.038023,0.519971
2018-03-01,-0.094497,0.332529,0.367676,-1.008824,0.193288
2018-04-01,,1.384096,-1.677826,-0.064037,0.370362
2018-05-01,,1.040698,-1.846732,-0.420799,0.835447
2018-06-01,0.555926,0.691940,-0.017343,-0.629405,-0.069331
2018-07-01,,0.592517,-1.126569,-0.546626,-1.173051
2018-08-01,,-1.295373,-0.214602,0.280471,-2.220775
2018-09-01,0.467734,0.150105,0.006407,1.038425,-1.665109
2018-10-01,,-0.294948,0.371188,0.498632,-1.777844
2018-11-01,,-0.313362,-0.114481,-0.554354,-0.684749
2018-12-01,0.463574,-0.417545,-0.565275,0.095349,-0.104721
2019-01-01,,-0.034369,0.860394,0.568567,0.670770
2019-02-01,,-1.105477,0.877214,0.144932,-0.200776
2019-03-01,-1.580081,-1.025044,1.488658,0.887849,-0.196092
2019-04-01,,-1.080321,2.083966,1.654003,-0.875161
2019-05-01,,-0.220778,1.337836,1.350560,-1.067880
2019-06-01,-0.325397,-0.603866,0.787394,0.261637,0.425991
2019-07-01,,-0.841105,0.647068,-0.164005,0.514670
2019-08-01,,-1.520040,0.910200,-0.640746,-1.238912
2019-09-01,-0.102129,-0.677074,0.469303,-1.000518,0.475902
2019-10-01,,-2.231691,1.546462,-0.331137,0.052196
2019-11-01,,-1.336702,1.281318,-0.095966,-0.376801
2019-12-01,-1.425020,-1.242179,1.582784,1.056075,-0.103660
2020-01-01,,-0.776677,1.543295,0.370982,-0.279632
2020-02-01,,-0.658311,0.199305,-1.033071,-0.945000
2020-03-01,-0.722635,-0.588884,0.071217,-1.017682,-1.564463
2020-04-01,,-0.309570,0.502726,-0.224832,-1.178840
2020-05-01,,-0.739803,1.480358,-0.273827,-1.394435
2020-06-01,-0.427534,-0.542526,0.234063,-0.858208,-0.645344
2020-07-01,,0.254297,-0.277613,-0.152701,0.159528
2020-08-01,,0.259277,-0.251897,0.114444,-0.500334
2020-09-01,-0.483695,-0.179790,0.357198,-0.552494,-0.717597
2020-10-01,,0.578140,-0.086540,-0.889254,0.311468
2020-11-01,,-0.006513,0.055535,-0.899069,-1.220316
2020-12-01,-1.413626,-1.311504,1.085019,-1.894649,-1.482044
2021-01-01,,-0.105289,0.474088,-1.589959,-0.173382
2021-02-01,,-0.215639,-0.139210,-0.697888,-0.282736
2021-03-01,-0.128227,0.625215,-0.958836,-0.893939,0.466858
2021-04-01,,1.619543,-2.431457,-0.525152,1.719370
2021-05-01,,1.584052,-0.961402,-0.215300,2.293391
2021-06-01,1.691285,1.171905,-0.190750,1.093800,1.568888
2021-07-01,,-0.016570,0.193412,1.626058,1.042701
2021-08-01,,0.110199,-0.727656,-0.214177,0.507224
2021-09-01,0.528799,0.494518,-0.030316,0.350235,1.101797
2021-10-01,,0.708786,-0.686930,0.316458,0.244190
2021-11-01,,0.612907,-0.408959,0.277631,0.443830
2021-12-01,0.781580,1.169521,-0.312721,0.531936,0.753168
2022-01-01,,-0.483198,0.323358,0.131924,0.744679
2022-02-01,,-0.439089,0.557894,0.000441,-0.481911
2022-03-01,1.306038,0.669957,-0.441757,-0.226070,0.426694
2022-04-01,,0.465874,-0.332702,-0.206203,0.892468
2022-05-01,,-0.293870,0.194553,0.319767,0.202934
2022-06-01,-0.781723,-0.660559,0.534990,0.140948,-0.128035
2022-07-01,,-0.375883,0.719898,1.210506,-0.103066
2022-08-01,,-0.467274,0.213782,0.208644,0.675588
2022-09-01,-0.517986,-0.539269,0.317892,1.096837,-0.785612
2022-10-01,,0.013994,0.419926,1.120506,-0.172281
2022-11-01,,0.088743,-0.994946,0.069636,1.000125
2022-12-01,1.571569,1.605438,-1.448880,0.409289,1.197907
2023-01-01,,1.472391,-2.088610,1.656303,0.761903
2023-02-01,,2.047732,-1.366256,1.946121,-0.635230
2023-03-01,0.918409,0.781081,-0.523070,0.228066,-0.054362
2023-04-01,,0.577466,-0.123759,-0.059410,0.397147
2023-05-01,,-0.264480,-0.241526,1.057781,-0.002017
2023-06-01,-0.179353,0.037877,0.437677,1.502972,-1.039890
2023-07-01,,-0.488512,0.707693,1.119523,-0.331763
2023-08-01,,0.065943,-0.259357,2.445889,-0.664961
2023-09-01,-0.331810,-0.433901,0.362275,1.479606,-0.541399
2023-10-01,,-0.290897,0.562323,2.362398,0.124026
2023-11-01,,-0.620098,0.792495,0.541591,0.071520
2023-12-01,-1.013281,-1.087062,0.958553,1.394375,-0.401969
