date,gdp_growth,industrial_production,unemployment,payrolls,retail_sales,housing_starts,consumer_confidence,pmi_manufacturing,cpi_inflation,pce_inflation,fed_funds_rate,sp500_returns,term_spread,credit_spread,oil_price_change
2000-01-01,-0.704280,0.243083,0.937760,-0.529201,-0.404293,-0.086739,-0.016540,0.087533,1.022677,0.201482,-0.099452,-0.539078,-0.075132,0.196573,0.729440
2000-02-01,-0.031455,0.146379,-0.008641,0.499372,1.131244,-0.149968,0.169246,0.742493,0.497359,0.984623,0.475691,0.157783,0.425569,0.797826,0.719192
2000-03-01,1.048281,1.221044,-0.429573,1.373645,1.093334,0.683318,0.449408,0.966268,-0.148457,0.367831,0.194915,0.492995,0.751774,0.309862,0.186726
2000-04-01,1.177124,1.800513,-1.296453,2.375106,1.449386,1.618061,0.522411,1.257914,0.764958,0.916792,1.317914,1.230979,0.727670,0.835298,0.572696
2000-05-01,1.234524,1.590665,-1.855468,2.009734,0.867754,1.180069,0.327597,1.030320,0.357930,0.207963,1.511775,0.092711,-0.312006,0.539513,-0.432246
2000-06-01,0.784812,1.489843,-1.507864,1.074469,0.358034,1.212625,-0.684148,-0.664604,-0.293148,-1.292479,-1.041385,-1.063813,-0.614428,-0.963973,-1.587082
2000-07-01,0.742637,0.347001,-0.529047,0.755362,0.858072,0.459492,-0.371544,-0.147438,-1.187250,-0.948423,-0.328513,-0.928620,-0.745509,-1.320225,-0.365122
2000-08-01,-0.089406,0.872503,-0.422725,-0.319120,-0.017052,-0.586575,0.575117,0.014298,-2.017072,-2.362353,-1.726041,-2.368752,-2.267723,-1.173675,0.241721
2000-09-01,-0.095938,-0.438779,-0.162110,-0.100459,-0.892118,0.184283,-0.461703,-0.820110,-1.396946,-1.162800,-1.927279,-1.454621,-1.423674,-1.789457,-1.142537
2000-10-01,-0.070567,-0.331040,0.053539,-0.296138,-0.257471,-0.332184,-1.370373,-1.582426,-0.771185,-0.764742,-0.399874,-1.060562,-0.388638,-1.363117,-0.875300
2000-11-01,-0.320604,0.418508,-0.230735,0.405714,-0.485287,-0.809266,-1.301742,-1.166849,-0.942391,-0.769966,-1.047020,-1.260255,-0.014944,-0.343831,-1.059936
2000-12-01,-0.526586,-0.563627,0.770861,-0.985468,-0.669231,-1.136803,-0.629919,-0.539686,0.239975,1.053724,-0.077812,-0.694032,0.527230,0.749403,0.142796
2001-01-01,-1.321511,-0.905125,1.161703,-1.303045,-0.829953,-0.606678,-2.113981,-0.980533,1.299176,0.497399,0.840226,0.064001,0.844289,0.188708,-1.405786
2001-02-01,-1.175628,-0.702184,0.969186,-1.191143,-1.021264,-2.349787,-1.564195,-2.634441,-0.913943,-1.102021,-1.097552,-0.928627,-0.732858,-0.821924,-1.912909
2001-03-01,-0.623290,-0.768990,0.188593,-0.387001,-1.045663,-1.348856,-1.365165,-0.625141,0.349445,-0.073895,-0.062428,-0.671773,0.917111,0.015358,-0.845120
2001-04-01,-0.600170,-0.824411,0.548273,-0.931778,-1.076901,-0.835783,-1.541031,-1.751324,0.036894,-0.220505,-0.052145,-1.850606,0.287040,-0.345280,-1.241280
2001-05-01,-1.980627,-0.361400,0.922084,-0.642305,-1.553155,-0.776732,-1.223509,-1.138732,0.354980,-0.392537,-0.313067,-0.405571,-0.174227,-0.363189,-0.463690
2001-06-01,-0.032486,-0.729502,0.623623,-0.317119,-0.500976,-0.480934,-0.258059,-1.004617,-0.731185,-1.655634,-1.106461,-1.715299,-1.272321,-1.076462,-0.401357
2001-07-01,-0.744715,-0.257727,0.864777,-0.925501,-0.624614,-0.585806,-0.667054,-0.083986,-1.137628,-1.363216,-0.764738,-1.402797,-1.288800,-1.276277,-0.197022
2001-08-01,-0.586909,-0.718374,0.704910,-0.555803,-0.728526,-1.241959,-0.695569,-0.934203,0.269593,0.097181,-0.534031,0.552431,0.103115,-0.520983,-1.577032
2001-09-01,0.473782,-0.779014,-0.227003,0.056938,0.707946,0.304887,0.429738,0.377709,0.390209,0.401404,0.131687,0.095981,-0.023480,-0.214879,0.165434
2001-10-01,-1.224730,-0.740003,0.262620,-1.125846,-0.682368,-0.061433,-0.375411,-1.354911,-0.546783,0.268409,-0.528044,-0.597830,0.103346,-0.660663,-0.552485
2001-11-01,-1.480686,-1.385487,1.432797,-1.828065,-0.831966,-0.946554,0.277547,-0.035955,1.033600,0.558864,0.052253,0.189906,0.516474,0.535782,0.462647
2001-12-01,-1.113570,-1.295033,0.770275,-0.432829,-1.290943,-0.985282,-0.077591,0.363262,0.987706,1.552356,0.493305,0.799701,0.515995,2.035555,0.116573
