date,inflation,unemployment,gdp_gap
1960-01-01,1.3331,5.6532,0.3004
1960-04-01,1.8213,5.2822,0.4012
1960-07-01,1.356,4.7543,1.1235
1960-10-01,2.1366,5.1306,-0.5406
1961-01-01,2.154,5.5082,0.4302
1961-04-01,2.0051,5.7127,-0.4085
1961-07-01,2.1737,5.3322,0.3993
1961-10-01,1.911,5.2715,0.4577
1962-01-01,2.8762,5.002,1.1196
1962-04-01,2.7959,5.4251,0.0543
1962-07-01,2.6852,5.1902,-0.0733
1962-10-01,2.0178,5.1992,0.4428
1963-01-01,2.388,5.3853,-0.0865
1963-04-01,2.6736,5.079,0.6602
1963-07-01,3.0493,5.5578,0.2687
1963-10-01,2.5977,6.1092,-0.8735
1964-01-01,2.3115,5.956,-1.0519
1964-04-01,2.2536,5.3761,0.5351
1964-07-01,2.8941,5.5835,-0.9418
1964-10-01,3.376,5.5134,0.0101
1965-01-01,2.6098,6.3135,-1.5172
1965-04-01,3.3439,6.2698,-2.0454
1965-07-01,3.3708,5.7835,-0.3768
1965-10-01,3.0054,6.1565,-1.0693
1966-01-01,4.0042,5.6382,-0.6136
1966-04-01,4.4207,5.7288,-0.2221
1966-07-01,3.6431,5.3471,0.3381
1966-10-01,3.8365,5.28,0.123
1967-01-01,5.1999,5.4159,0.1093
1967-04-01,4.0163,5.314,0.2664
1967-07-01,4.6218,5.1296,0.8509
1967-10-01,4.7911,4.9086,1.1945
1968-01-01,4.8404,5.3222,0.1554
1968-04-01,4.8301,6.1642,-1.1988
1968-07-01,3.9652,7.5774,-3.667
1968-10-01,4.4896,7.6075,-3.7063
1969-01-01,4.6429,6.4814,-2.6927
1969-04-01,4.4522,7.0955,-3.1895
1969-07-01,4.2482,7.6882,-3.65
1969-10-01,4.329,7.5173,-3.6931
1970-01-01,5.5132,8.2125,-4.2886
1970-04-01,4.5317,7.809,-3.2671
1970-07-01,4.3677,7.1783,-1.8482
1970-10-01,5.1057,6.5429,-0.542
1971-01-01,5.3463,5.4881,1.5847
1971-04-01,6.0992,5.6856,0.9471
1971-07-01,6.1876,6.4676,0.0827
1971-10-01,6.6107,6.682,-1.0724
1972-01-01,7.6417,5.7955,0.6065
1972-04-01,7.0763,7.5565,-2.4106
1972-07-01,7.623,7.3707,-1.8706
1972-10-01,8.7177,7.2801,-1.8873
1973-01-01,9.0705,7.8862,-2.4179
1973-04-01,9.2495,7.9439,-2.7168
1973-07-01,10.0897,7.7716,-2.8574
1973-10-01,10.1981,6.9383,-1.2187
1974-01-01,10.3484,7.9528,-2.0861
1974-04-01,10.9013,8.1945,-3.0164
1974-07-01,10.244,8.1621,-2.8461
1974-10-01,10.9086,7.6971,-2.5841
1975-01-01,10.2774,6.7998,-0.2969
1975-04-01,10.7018,6.3605,0.3127
1975-07-01,10.7963,6.2151,0.6071
1975-10-01,11.3507,7.0358,0.1497
1976-01-01,9.8116,6.5978,-0.672
1976-04-01,9.6101,7.0784,-0.7249
1976-07-01,9.787,6.5896,0.2552
1976-10-01,9.6459,7.5649,-1.013
1977-01-01,8.4316,7.4935,-1.7689
1977-04-01,8.5272,8.3838,-3.0963
1977-07-01,7.6169,8.4388,-2.9305
1977-10-01,7.8262,8.2221,-2.3649
1978-01-01,6.9815,8.4612,-2.5968
1978-04-01,6.0649,8.5216,-4.0362
1978-07-01,6.1946,8.4881,-2.9289
1978-10-01,5.113,8.2653,-2.2014
1979-01-01,4.8425,8.6137,-3.635
1979-04-01,4.8835,8.7124,-4.2116
1979-07-01,4.4234,8.3269,-2.9356
1979-10-01,4.2436,9.0735,-4.9478
1980-01-01,9.1885,9.4255,-6.067
1980-04-01,8.7072,9.4645,-5.7667
1980-07-01,8.9368,9.5968,-5.072
1980-10-01,8.8243,8.8625,-4.7622
1981-01-01,8.982,8.1928,-2.989
1981-04-01,8.9895,7.7186,-2.7915
1981-07-01,8.653,7.8726,-3.3157
1981-10-01,7.5849,8.7476,-3.9811
1982-01-01,7.9172,8.5983,-4.3122
1982-04-01,8.1092,7.8634,-2.988
1982-07-01,7.8687,8.3698,-3.7433
1982-10-01,8.1033,7.4748,-2.021
1983-01-01,7.6531,6.7528,-0.2072
1983-04-01,7.9903,6.6582,-0.3162
1983-07-01,7.3485,6.3335,-0.5976
1983-10-01,7.6773,5.9899,0.5241
1984-01-01,7.6341,5.9577,0.3398
1984-04-01,6.8722,5.6228,0.4003
1984-07-01,7.615,4.8623,2.3481
1984-10-01,6.7672,5.7634,0.0093
1985-01-01,7.1557,6.1581,0.0402
1985-04-01,6.8456,4.9336,1.6416
1985-07-01,6.8363,4.5758,3.0315
1985-10-01,6.7437,5.2334,0.7863
1986-01-01,6.2709,4.9153,1.0724
1986-04-01,6.1379,5.2901,1.567
1986-07-01,5.5158,6.1458,-0.3127
1986-10-01,5.5595,6.0429,-0.0536
1987-01-01,6.1944,6.3248,-0.2056
1987-04-01,5.8185,5.8515,0.5264
1987-07-01,4.9663,6.4267,-0.5045
1987-10-01,4.6543,6.2992,-1.0986
1988-01-01,4.5324,6.0259,-0.5035
1988-04-01,4.441,6.2014,-1.0638
1988-07-01,3.9866,5.9546,-0.9469
1988-10-01,4.7023,5.8524,-0.0233
1989-01-01,4.6199,6.1728,-0.4643
1989-04-01,3.076,6.2015,-0.9086
1989-07-01,4.4437,6.1452,-0.9144
1989-10-01,3.0626,6.5273,-0.9288
1990-01-01,2.7168,6.5022,-1.4644
1990-04-01,1.688,6.3716,-1.7118
1990-07-01,3.144,6.6682,-2.0331
1990-10-01,2.4812,6.2641,-1.5464
1991-01-01,2.1408,6.3514,-0.712
1991-04-01,2.7373,5.3396,0.1806
1991-07-01,2.6053,5.0865,0.7112
1991-10-01,2.6699,5.5037,-0.1769
1992-01-01,2.1682,5.8489,-1.0134
1992-04-01,2.3639,4.8052,1.5067
1992-07-01,2.109,5.6016,-0.3576
1992-10-01,2.7542,4.9587,0.9216
1993-01-01,2.7967,5.674,-0.1851
1993-04-01,2.9163,5.1338,-0.0222
1993-07-01,2.5165,5.3546,0.0419
1993-10-01,2.5694,4.8221,0.9952
1994-01-01,2.9555,4.5674,1.1961
1994-04-01,2.428,5.0217,0.8125
1994-07-01,2.79,5.0542,0.7265
1994-10-01,2.7169,5.4639,-0.5675
1995-01-01,3.3359,5.028,0.0289
1995-04-01,2.976,4.4698,1.7047
1995-07-01,3.4542,4.2677,1.614
1995-10-01,3.3821,3.9011,1.6561
1996-01-01,3.3844,4.2688,0.7858
1996-04-01,2.8969,5.0162,0.5504
1996-07-01,3.8491,4.914,0.0215
1996-10-01,3.9231,4.4964,1.0658
1997-01-01,3.369,4.6371,1.1268
1997-04-01,3.8632,4.637,0.1045
1997-07-01,3.4231,4.8918,-0.22
1997-10-01,3.386,4.9942,0.1509
1998-01-01,3.7442,3.8798,1.7099
1998-04-01,3.3444,4.3664,1.315
1998-07-01,3.6477,4.9296,0.2587
1998-10-01,4.1617,4.8473,-0.5498
1999-01-01,2.9762,4.5917,0.5491
1999-04-01,3.8293,4.9681,-0.5026
1999-07-01,3.5145,4.624,0.6307
1999-10-01,3.1604,4.7506,-0.0511
2000-01-01,3.4865,4.7452,-0.2479
2000-04-01,2.83,4.8045,0.1186
2000-07-01,2.65,4.9455,-0.0398
2000-10-01,2.9832,5.6426,-1.5931
2001-01-01,3.4365,6.2238,-2.342
