t,x_x,x_y,x_z,y_x_obs,y_z_obs
0,1,1,1,1.60943416,-1.079968212
0.01,1.012567191,1.259917799,0.9848909718,2.513469583,2.866020405
0.02,1.04882371,1.523997131,0.9731142199,-2.853246668,-1.631244794
0.03,1.107208854,1.79830989,0.9651589513,1.362889661,0.3326737666
0.04,1.186868017,2.088540142,0.9617372249,1.153265702,-0.7443506302
0.05,1.287557057,2.400154464,0.9638060638,3.046353007,2.519389935
0.06,1.409570658,2.738545614,0.9726081699,1.541632053,3.227090584
0.07,1.553690062,3.109153968,0.9897311223,2.488708746,-0.7288538035
0.08,1.72114638,3.517569455,1.017186524,2.458647949,-0.9005786778
0.09,1.913596203,3.96961501,1.057511855,3.670496806,0.9576600334
0.1,2.133106543,4.471410648,1.113898918,1.763381816,-0.2479601703
0.11,2.382146258,5.029414949,1.190353727,4.827228935,0.8812947626
0.12,2.66358091,5.650437905,1.2918935,1.806925266,0.5876263987
0.13,2.980667579,6.341615447,1.424786877,4.045285951,2.155675006
0.14,3.337045331,7.110331233,1.596843332,4.162510554,2.458485338
0.15,3.736715794,7.964065219,1.817756522,8.020010996,1.004926489
0.16,4.184006534,8.910140801,2.099503254,3.159521076,0.471957798
0.17,4.683507458,9.955332873,2.456793619,5.915466304,4.714738205
0.18,5.239967325,11.10528811,2.907557028,5.01207241,1.227244074
0.19,5.858133453,12.36369719,3.473430965,4.209171022,4.774616541
0.2,6.542513104,13.73114882,4.180191224,8.029021446,5.266499761
0.21,7.297030108,15.20359151,5.058020856,5.966010693,5.522343502
0.22,8.124546154,16.77034002,6.141457117,8.357917772,6.578834311
0.23,9.026214597,18.41160096,7.468781221,10.76907215,7.915972319
0.24,10.0006389,20.09557648,9.080530966,11.35846603,9.215689105
0.25,11.04282287,21.77535826,11.01674104,11.62106166,12.27931749
0.26,12.14293225,23.38606783,13.31249121,9.228620607,12.67314877
0.27,13.28494453,24.84303577,15.99143936,12.34419922,14.71368366
0.28,14.44535036,26.04219586,19.05733294,13.89506585,22.04721557
0.29,15.59218235,26.86416864,22.48412519,13.86052012,24.4206819
0.3,16.68476348,27.18347314,26.20629733,13.31902393,25.53652727
0.31,17.67463919,26.88360584,30.11213497,18.00014532,31.28457963
0.32,18.50811306,25.87710555,34.04354909,19.93056622,35.63024356
0.33,19.13056847,24.12730309,37.80580894,18.43311833,36.88110536
0.34,19.49230571,21.66603959,41.18855567,21.20825747,40.80594702
0.35,19.55504068,18.60067371,43.99569238,17.00366803,41.72911796
0.36,19.29772266,15.10556107,46.07747481,17.45881808,47.07179629
0.37,18.72021153,11.39797559,47.35566867,19.005063,48.73663937
0.38,17.84377602,7.704258412,47.83395409,16.98927073,48.15103347
0.39,16.70823398,4.225761245,47.59076769,17.95941476,46.97207461
0.4,15.36649854,1.113757572,46.75801525,16.28004901,45.43416336
0.41,13.87791406,-1.541669257,45.49332413,13.15180637,44.72984834
0.42,12.30184767,-3.709143662,43.95398203,9.910168378,44.92792699
0.43,10.6926188,-5.404206381,42.27805674,9.753814115,42.30304497
0.44,9.096259495,-6.673702328,40.57446333,10.05775281,41.46752569
0.45,7.549064835,-7.580828767,38.92079737,8.879835053,38.7238264
0.46,6.077561996,-8.193377576,37.3663547,5.230965372,37.20691828
0.47,4.699411654,-8.575906018,35.9376975,1.324742786,33.04347256
0.48,3.424792838,-8.785421215,34.64478036,0.779393613,32.6502867
0.49,2.257932674,-8.869676409,33.48646646,3.057481128,31.67550835
0.5,1.198564958,-8.867139001,32.4549326,0.4422398498,35.0533892
0.51,0.2432037949,-8.807869144,31.53889123,-0.4693241472,33.01392237
0.52,-0.6138094172,-8.714781679,30.72577736,-2.481044777,30.31490224
0.53,-1.379483645,-8.604970694,30.00312547,-3.279527755,29.32505932
0.54,-2.061555926,-8.490927523,29.35936003,-0.3809396509,25.90471918
0.55,-2.668035905,-8.381580987,28.78418732,-1.799188618,29.25965853
0.56,-3.206883387,-8.283145322,28.26873165,-4.395183298,25.37661594
0.57,-3.685788465,-8.199789975,27.80551797,-3.54152945,26.74653255
0.58,-4.112028738,-8.134157219,27.38836992,-3.646676316,27.43207421
0.59,-4.492383158,-8.087755919,27.01226803,-1.288825376,26.53355677
0.6,-4.833086626,-8.061257551,26.67319525,-6.880081611,27.03174652
0.61,-5.139813265,-8.054716659,26.36798588,-4.699819897,29.08636103
0.62,-5.417679353,-8.067733595,26.09418598,-3.747456861,26.8079281
0.63,-5.671259239,-8.099573544,25.84992892,-2.744653456,23.47240281
0.64,-5.904609409,-8.149252539,25.63382677,-7.184112475,23.78067488
0.65,-6.121297192,-8.215598647,25.44487668,-6.900916799,22.69150439
0.66,-6.324431602,-8.297294494,25.28238055,-5.054129708,24.83793516
0.67,-6.51669459,-8.392905839,25.1458759,-9.458307179,23.11471774
0.68,-6.700371521,-8.500899855,25.035076,-6.073343827,26.71132913
0.69,-6.877380102,-8.619655951,24.94981713,-2.883918319,30.77754206
0.7,-7.049297326,-8.74747148,24.89001143,-6.220478459,22.91093519
0.71,-7.217384227,-8.88256423,24.85560369,-11.48147679,25.39102661
0.72,-7.382608428,-9.023073391,24.84653097,-9.008490619,24.01581645
0.73,-7.545664625,-9.167060445,24.86268419,-8.769858223,24.58110242
0.74,-7.706993245,-9.312511316,24.90387101,-5.575032784,25.21796815
0.75,-7.866797663,-9.457341007,24.96977985,-8.184067338,22.89847235
