t,x_theta,x_theta_dot,y_sin_theta
0,1.2,0,1.033311451
0.1,1.108597437,-0.9140256263,1.317318698
0.2,0.9292841033,-1.793133341,0.8283672202
0.3,0.6714489038,-2.578351995,0.815302655
0.4,0.352677689,-3.187712148,-0.2696397071
0.5,-0.0001735389032,-3.528512279,-0.01478905948
0.6,-0.3531379606,-3.529644217,-0.5988129101
0.7,-0.6721623187,-3.190243581,-0.9883233243
0.8,-0.9301334513,-2.579711326,-1.065145426
0.9,-1.109459522,-1.793260706,-0.9956952573
1,-1.201026445,-0.9156692312,-0.6576397725
1.1,-1.201035955,-9.509819753e-05,-1.330331787
1.2,-1.109497875,0.9153808003,-0.8862858492
1.3,-0.9301070651,1.793908097,-0.9469347734
1.4,-0.6719583364,2.581487287,-0.7208217101
1.5,-0.3526936661,3.192646702,-0.04459956925
1.6,0.0003714554067,3.530651215,0.1618060865
1.7,0.3534370122,3.530655568,0.7473438435
1.8,0.6724518761,3.190148638,0.5765542483
1.9,0.930447511,2.57995635,0.5931046144
2,1.109773,1.793254886,0.8284400792
2.1,1.201221865,0.9144886564,1.00523018
2.2,1.201126238,-0.0009562739034,0.9854186033
2.3,1.109679854,-0.9144638431,0.5702398613
2.4,0.930363945,-1.793159086,0.828984401
2.5,0.6723449481,-2.580189969,0.6912907982
2.6,0.3531918704,-3.191530778,1.101136623
2.7,0.0001597817428,-3.530320886,0.5632131651
2.8,-0.3528514371,-3.530112188,-0.6015479772
2.9,-0.6719204778,-3.190690408,-0.7087051615
3,-0.9298801525,-2.579596747,-1.240580887
3.1,-1.108993776,-1.79113623,-1.072462907
3.2,-1.200323936,-0.9133016075,-0.8374749168
3.3,-1.200260777,0.0006315956782,-0.5703774625
3.4,-1.108836693,0.9142408343,-1.113905953
3.5,-0.9295337753,1.79302918,-0.9975850608
3.6,-0.6715063952,2.5802738,-1.266352736
3.7,-0.3524559227,3.190504725,-0.394003574
3.8,0.0003750267431,3.528309495,-0.3183492968
