t,x_x,x_vx,x_y,x_vy,y_range,y_bearing
0,0,1,100,0.5,103.8006654,1.479226023
1,1.017592849,0.9743900679,100.5433273,0.6120192158,101.6945336,1.543895365
2,1.879339848,0.7403164888,101.1627274,0.6072783899,103.830506,1.45268047
3,2.618686321,0.6962092695,101.8207779,0.7223260853,98.33108043,1.470330369
4,3.318707875,0.758289756,102.5700956,0.7198489588,101.7257137,1.606645211
5,4.098287467,0.7422803806,103.3406619,0.7934286909,104.4057755,1.575918313
6,4.829894814,0.692224353,104.2046741,0.8915774024,108.4191894,1.488505386
7,5.497389649,0.637523398,105.1269844,0.9559489334,103.3019175,1.443425891
8,6.158742175,0.6948081408,106.2065814,1.121100305,108.9908354,1.364646423
9,6.823975968,0.6097579828,107.3632453,1.230894303,106.2506977,1.480147232
10,7.427155192,0.5578820196,108.5465381,1.192021775,108.2126273,1.623499866
11,8.027949011,0.6494074324,109.7001367,1.145995009,114.1410857,1.519489913
12,8.684093301,0.6704471497,110.8964437,1.232642733,101.2706397,1.464669061
13,9.393737544,0.7326217424,112.1457787,1.289245618,106.0561561,1.510481791
14,10.04223036,0.5904447859,113.4078673,1.216566259,106.4406903,1.404429087
15,10.6167898,0.6413638336,114.5744448,1.189997003,103.3972036,1.463531206
16,11.1609931,0.4788787848,115.7738384,1.233402948,112.9192509,1.479663779
17,11.68093457,0.5801401751,116.9871077,1.180084882,121.3159902,1.46697309
18,12.31061,0.6448778498,118.0935408,1.012942844,117.3090437,1.506467229
19,12.90240325,0.5901089833,119.1147066,1.059801543,120.8004078,1.480130122
20,13.46784479,0.5610348033,120.2106266,1.098511933,126.408799,1.492642489
21,14.05525153,0.5674964022,121.2881776,1.047983653,128.7382755,1.421009188
22,14.55370609,0.488282275,122.3090603,1.007956924,122.8262089,1.497252735
23,15.06974429,0.5522427158,123.3554332,1.06065669,131.040453,1.530680309
24,15.59754787,0.5115980961,124.3186716,0.8421736183,125.7539516,1.397476783
25,16.03277987,0.3471866081,125.1839262,0.8315211291,122.0194486,1.399031202
26,16.35813325,0.3793981852,125.9948784,0.8375435426,124.0803415,1.508476015
27,16.68362899,0.2882726445,126.7775724,0.7383175654,120.4679409,1.43038336
28,17.02041685,0.2746794426,127.5409715,0.7878265367,124.2309826,1.508320665
29,17.26079303,0.1509216544,128.3329624,0.7675984998,127.6984651,1.414971823
30,17.42514825,0.1721646126,129.1930396,0.8943488395,134.3807928,1.50948084
31,17.53822121,0.09249091146,130.10009,0.98136049,139.8807421,1.443372811
32,17.67892729,0.1826572198,131.1659343,1.048648085,125.4410731,1.449732243
33,17.82464844,0.08092431477,132.1920767,0.9460552583,135.3525298,1.515001614
34,17.94224321,0.1248188654,133.0532149,0.7679007428,129.0548019,1.418666266
35,18.0851628,0.1938762895,133.936397,1.086515834,137.5253687,1.389524003
36,18.30296503,0.1802882931,134.8998191,0.9152607828,135.4803803,1.413513384
37,18.43631815,0.08911766606,135.7797404,0.8552121008,127.8711464,1.458457288
38,18.58698021,0.1892866904,136.6257938,0.7896912332,142.5257964,1.357295475
39,18.67957904,0.01993949762,137.4123799,0.8734300234,135.6511977,1.467559941
40,18.70703994,0.08035857771,138.256983,0.7709425678,136.8473318,1.409368234
41,18.73167748,-0.0394842889,139.1508129,0.9142041198,135.0571654,1.494377131
42,18.74060338,-0.01201535272,140.1188014,1.014128258,138.0950885,1.31812442
43,18.71954454,-0.02761871889,141.0951254,0.9797255898,144.4709518,1.399565145
44,18.66565733,-0.1283017323,142.0010693,0.8776823453,142.2763688,1.355774931
45,18.62852448,0.01645116262,142.871902,0.8816992719,145.7245451,1.399830086
46,18.72037769,0.1405233562,143.7298764,0.9014263653,146.7534947,1.453661782
47,18.88565531,0.2544425527,144.6418818,0.8560714815,152.4729143,1.432001104
48,19.06110715,0.2185028871,145.5974692,0.9963693509,145.1259441,1.427951308
49,19.25748671,0.2583901063,146.5299232,0.8557600316,140.4056605,1.432162416
50,19.55301931,0.2943735848,147.3853875,0.84714432,154.0128521,1.449070011
51,19.86688277,0.3939824914,148.2377618,0.8871861427,147.9056798,1.387142997
52,20.14249852,0.2139964592,149.076264,0.7532196062,156.0038525,1.471836752
53,20.30579482,0.1212400613,149.8823633,0.7662194571,153.1684909,1.469271273
54,20.4288034,0.09968435473,150.6296645,0.787980026,151.3529695,1.455247981
55,20.55955586,0.213156424,151.4087242,0.7398023111,154.5421029,1.463660015
56,20.75978779,0.2058945213,152.1587209,0.7008746089,163.3234357,1.450019371
57,20.97090674,0.2251425828,153.004942,1.012736486,164.8202975,1.536338374
58,21.1467873,0.136880373,153.9331866,0.8564633407,155.7258378,1.429919763
59,21.30188913,0.2245052492,154.7475563,0.7606155062,157.0077923,1.418646158
60,21.40242059,0.03041126827,155.4468332,0.6421357478,162.294494,1.396296969
61,21.38220628,-0.05024023039,155.9874865,0.4165597415,153.2178592,1.382955774
62,21.45489819,0.06978684948,156.3407233,0.4134210007,159.4713543,1.372192938
63,21.69240917,0.2627947148,156.7328834,0.3986074831,158.0976031,1.388826487
64,22.05501029,0.3631614684,157.1173298,0.4162326774,160.2272821,1.427800684
65,22.44327299,0.3820055113,157.5258362,0.3358984782,154.9497471,1.445989921
66,22.81152753,0.3480596855,157.875139,0.3282386195,151.566818,1.42985562
67,23.18681151,0.4395319104,158.2123513,0.3592870145,149.5374791,1.387000497
68,23.62941234,0.4441395182,158.5299792,0.3126229689,154.6944053,1.46784163
69,24.06793502,0.5403726671,158.9334398,0.468171828,158.4520863,1.457474811
70,24.56425255,0.4186694007,159.4703823,0.5844652949,159.8852284,1.409978686
71,25.01064305,0.3730217397,160.1083933,0.6875048404,171.7362403,1.383192148
72,25.31955404,0.2532793812,160.8111239,0.7129667602,168.3221576,1.44205075
73,25.55596491,0.2228022009,161.5095427,0.6987730047,158.7084722,1.423264166
74,25.86372374,0.2219042217,162.1946412,0.6870867912,165.9823666,1.340260267
75,26.10271718,0.2289423241,162.7803036,0.5513499963,162.8244859,1.408395443
76,26.43138812,0.3018421704,163.3815267,0.6097334356,164.0838954,1.423510604
77,26.72968973,0.2438864007,163.9719503,0.6457709112,167.0629482,1.364219148
78,27.00721574,0.3809614052,164.6856991,0.7696921058,169.9813529,1.417742856
79,27.48886326,0.5539402233,165.5031952,0.8265694376,166.0742211,1.333465086
80,28.0466455,0.5248320688,166.3868982,0.853354739,174.0534102,1.470612613
81,28.61664659,0.5830530431,167.307875,0.9923311622,164.0278636,1.463791268
82,29.30481469,0.77726436,168.2094443,0.8528408238,170.7747459,1.385685378
83,30.01441318,0.6498515677,169.149536,1.015593736,184.7801918,1.413353889
84,30.62391198,0.5386365487,170.1670224,0.9576047408,174.0160624,1.272242309
85,31.12380023,0.4961145693,171.1913291,1.088095772,181.1636648,1.333136165
86,31.48762714,0.3129014136,172.2835837,1.115028576,175.5949866,1.37533629
