year,volume,is_outlier
1871,1120,False
1872,1160,False
1873,963,False
1874,1210,False
1875,1160,False
1876,1160,False
1877,813,False
1878,1230,False
1879,1370,False
1880,1140,False
1881,995,False
1882,935,False
1883,1110,False
1884,994,False
1885,1020,False
1886,960,False
1887,1180,False
1888,1198,True
1889,958,False
1890,1140,False
1891,1100,False
1892,1210,False
1893,1150,False
1894,1250,False
1895,1260,False
1896,1220,False
1897,1030,False
1898,1100,False
1899,774,False
1900,840,False
1901,874,False
1902,694,False
1903,940,False
1904,833,False
1905,701,False
1906,916,False
1907,692,False
1908,1020,False
1909,1050,False
1910,969,False
1911,831,False
1912,726,False
1913,684,True
1914,824,False
1915,702,False
1916,1120,False
1917,1100,False
1918,832,False
1919,764,False
1920,821,False
1921,768,False
1922,845,False
1923,864,False
1924,862,False
1925,698,False
1926,845,False
1927,744,False
1928,796,False
1929,1040,False
1930,759,False
1931,781,False
1932,1298,True
1933,845,False
1934,944,False
1935,984,False
1936,897,False
1937,822,False
1938,1010,False
1939,771,False
1940,676,False
1941,649,False
1942,846,False
1943,812,False
1944,742,False
1945,801,False
1946,1040,False
1947,860,False
1948,874,False
1949,848,False
1950,890,False
1951,744,False
1952,749,False
1953,838,False
1954,1050,False
1955,1377,True
1956,986,False
1957,797,False
1958,923,False
1959,975,False
1960,815,False
1961,1020,False
1962,906,False
1963,901,False
1964,1170,False
1965,912,False
1966,746,False
1967,919,False
1968,718,False
1969,714,False
1970,740,False
