,estimate,std_error,t_value,p_value
lambda_gdp_growth_f0,-0.5531789313281579,,,
lambda_industrial_production_f0,-0.5404579124945468,,,
lambda_industrial_production_f1,0.05598936720844856,,,
lambda_unemployment_f0,0.5183285760094613,,,
lambda_unemployment_f1,-0.1794668011621384,,,
lambda_unemployment_f2,0.04068689909876718,,,
lambda_payrolls_f0,-0.5311536541467089,,,
lambda_payrolls_f1,0.03828681658095345,,,
lambda_payrolls_f2,-0.023158716421838824,,,
lambda_retail_sales_f0,-0.5386999347469645,,,
lambda_retail_sales_f1,-0.0720640096600369,,,
lambda_retail_sales_f2,0.010811384671838889,,,
lambda_housing_starts_f0,-0.5126726149330605,,,
lambda_housing_starts_f1,-0.10167369996897009,,,
lambda_housing_starts_f2,-0.10356812280295112,,,
lambda_pmi_manufacturing_f0,-0.40453566090188936,,,
lambda_pmi_manufacturing_f1,-0.3048556031491083,,,
lambda_pmi_manufacturing_f2,0.4353016033978417,,,
lambda_cpi_inflation_f0,-0.11032106108420858,,,
lambda_cpi_inflation_f1,-0.5503803037904742,,,
lambda_cpi_inflation_f2,-0.35757703025302395,,,
phi_00,0.8069895245870595,,,
phi_01,-0.05954643484871384,,,
phi_02,0.018027201130436533,,,
phi_10,-0.008857276154416971,,,
phi_11,0.6744528280433193,,,
phi_12,-0.01918465795989287,,,
phi_20,0.034893418821344405,,,
phi_21,0.08560869586562658,,,
phi_22,0.6867866426536546,,,
sigma2_gdp_growth,0.09944289436810157,,,
sigma2_industrial_production,0.12407342791984867,,,
sigma2_unemployment,0.10250968526852244,,,
sigma2_payrolls,0.15442190814371876,,,
sigma2_retail_sales,0.15497086752090908,,,
sigma2_housing_starts,0.18660814936915476,,,
sigma2_pmi_manufacturing,0.12497009618487827,,,
sigma2_cpi_inflation,0.11178127815945471,,,
