date,pib
1996-03-01,101.34
1996-06-01,97.53
1996-09-01,103.9
1996-12-01,102.11
1997-03-01,98.98
1997-06-01,103.32
1997-09-01,103.33
1997-12-01,104.42
1998-03-01,105.33
1998-06-01,109.4
1998-09-01,108.72
1998-12-01,108.73
1999-03-01,108.08
1999-06-01,110.25
1999-09-01,112.87
1999-12-01,112.32
2000-03-01,112.75
2000-06-01,110.95
2000-09-01,115.58
2000-12-01,114.27
2001-03-01,115.06
2001-06-01,116.19
2001-09-01,116.63
2001-12-01,116.73
2002-03-01,116.63
2002-06-01,118.14
2002-09-01,118.98
2002-12-01,119.24
2003-03-01,120.14
2003-06-01,122.39
2003-09-01,123.38
2003-12-01,122.45
2004-03-01,121.85
2004-06-01,123.99
2004-09-01,123.12
2004-12-01,124.8
2005-03-01,128.34
2005-06-01,126.44
2005-09-01,127.07
2005-12-01,126.03
2006-03-01,129.08
2006-06-01,130.02
2006-09-01,129.78
2006-12-01,128.91
2007-03-01,132.41
2007-06-01,132.92
2007-09-01,133.73
2007-12-01,134.39
2008-03-01,134.48
2008-06-01,135.43
2008-09-01,131.7
2008-12-01,131.78
2009-03-01,136.78
2009-06-01,136.08
2009-09-01,135.5
2009-12-01,134.7
2010-03-01,141.97
2010-06-01,141.59
2010-09-01,140.49
2010-12-01,143.57
2011-03-01,143.04
2011-06-01,142.51
2011-09-01,145.71
2011-12-01,147.21
2012-03-01,145.48
2012-06-01,147.81
2012-09-01,149.86
2012-12-01,147.94
2013-03-01,148.65
2013-06-01,149.97
2013-09-01,153.14
2013-12-01,149.76
2014-03-01,151.7
2014-06-01,151.56
2014-09-01,153.85
2014-12-01,155.58
2015-03-01,147.37
2015-06-01,145.75
2015-09-01,148.62
2015-12-01,148.68
2016-03-01,149.2
2016-06-01,149.62
2016-09-01,150.63
2016-12-01,148.47
2017-03-01,161.99
2017-06-01,162.02
2017-09-01,161.25
2017-12-01,162.29
2018-03-01,162.88
2018-06-01,165.3
2018-09-01,165.6
2018-12-01,166.48
2019-03-01,166.41
2019-06-01,166.49
2019-09-01,167.71
2019-12-01,170.62
2020-03-01,154.4
2020-06-01,155.14
2020-09-01,165.04
2020-12-01,170.21
2021-03-01,170.59
2021-06-01,173.69
2021-09-01,172.62
2021-12-01,174.67
2022-03-01,177.65
2022-06-01,173.21
2022-09-01,175.77
2022-12-01,176.89
2023-03-01,182.05
2023-06-01,178.83
2023-09-01,179.1
2023-12-01,179.07
