month,sunspots
1749-01,58.0
1749-02,62.6
1749-03,70.0
1749-04,55.7
1749-05,85.0
1749-06,83.5
1749-07,94.8
1749-08,66.3
1749-09,75.9
1749-10,75.5
1749-11,158.6
1749-12,85.2
1750-01,73.3
1750-02,75.9
1750-03,89.2
1750-04,88.3
1750-05,90.0
1750-06,100.0
1750-07,85.4
1750-08,103.0
1750-09,91.2
1750-10,65.7
1750-11,63.3
1750-12,75.4
1751-01,70.0
1751-02,43.5
1751-03,45.3
1751-04,56.4
1751-05,60.7
1751-06,50.7
1751-07,66.3
1751-08,59.8
1751-09,23.5
1751-10,23.2
1751-11,28.5
1751-12,44.0
1752-01,35.0
1752-02,50.0
1752-03,71.0
1752-04,59.3
1752-05,59.7
1752-06,39.6
1752-07,78.4
1752-08,29.3
1752-09,27.1
1752-10,46.6
1752-11,37.6
1752-12,40.0
1753-01,44.0
1753-02,32.0
1753-03,45.7
1753-04,38.0
1753-05,36.0
1753-06,31.7
1753-07,22.2
1753-08,39.0
1753-09,28.0
1753-10,25.0
1753-11,20.0
1753-12,6.7
1754-01,0.0
1754-02,3.0
1754-03,1.7
1754-04,13.7
1754-05,20.7
1754-06,26.7
1754-07,18.8
1754-08,12.3
1754-09,8.2
1754-10,24.1
1754-11,13.2
1754-12,4.2
1755-01,10.2
1755-02,11.2
1755-03,6.8
1755-04,6.5
1755-05,0.0
1755-06,0.0
1755-07,8.6
1755-08,3.2
1755-09,17.8
1755-10,11.7
1755-11,19.3
1755-12,18.3
1756-01,12.7
1756-02,13.2
1756-03,11.4
1756-04,7.7
1756-05,9.7
1756-06,7.2
1756-07,5.1
1756-08,2.6
1756-09,18.6
1756-10,7.3
1756-11,24.5
1756-12,12.7
1757-01,4.3
1757-02,10.0
1757-03,15.0
1757-04,12.7
1757-05,18.8
1757-06,14.0
1757-07,28.2
1757-08,32.8
1757-09,43.6
1757-10,44.2
1757-11,57.6
1757-12,58.2
1758-01,47.0
1758-02,52.2
1758-03,60.0
1758-04,57.0
1758-05,72.0
1758-06,47.0
1758-07,48.0
1758-08,49.0
1758-09,50.0
1758-10,51.0
1758-11,69.0
1758-12,66.5
1759-01,60.0
1759-02,58.6
1759-03,80.4
1759-04,67.3
1759-05,90.1
1759-06,99.6
1759-07,95.1
1759-08,91.0
1759-09,79.3
1759-10,82.2
1759-11,72.0
1759-12,48.0
1760-01,48.0
1760-02,56.2
1760-03,51.0
1760-04,49.0
1760-05,49.2
1760-06,73.0
1760-07,55.3
1760-08,52.0
1760-09,49.0
1760-10,52.0
1760-11,44.0
1760-12,53.0
1761-01,47.0
1761-02,53.0
1761-03,56.0
1761-04,56.0
1761-05,60.1
1761-06,48.0
1761-07,47.0
1761-08,43.0
1761-09,44.0
1761-10,39.0
1761-11,38.0
1761-12,30.0
1762-01,24.0
1762-02,23.0
1762-03,21.0
1762-04,18.0
1762-05,13.0
1762-06,15.0
1762-07,17.0
1762-08,19.0
1762-09,25.0
1762-10,29.0
1762-11,15.0
1762-12,6.0
1763-01,5.0
1763-02,11.0
1763-03,8.0
1763-04,12.0
1763-05,21.0
1763-06,8.0
1763-07,5.0
1763-08,5.0
1763-09,11.0
1763-10,18.0
1763-11,20.0
1763-12,23.0
1764-01,16.0
1764-02,8.0
1764-03,4.0
1764-04,2.0
1764-05,0.0
1764-06,0.0
1764-07,5.0
1764-08,10.0
1764-09,7.0
1764-10,4.0
1764-11,3.0
1764-12,2.0
1765-01,0.0
1765-02,0.0
1765-03,7.0
1765-04,10.0
1765-05,5.0
1765-06,17.0
1765-07,22.0
1765-08,11.0
1765-09,21.0
1765-10,10.0
1765-11,9.0
1765-12,17.0
1766-01,18.0
1766-02,13.0
1766-03,12.0
1766-04,14.0
1766-05,15.0
1766-06,20.0
1766-07,33.0
1766-08,40.0
1766-09,43.0
1766-10,44.0
1766-11,47.0
1766-12,52.0
1767-01,59.0
1767-02,63.0
1767-03,58.0
1767-04,67.0
1767-05,80.0
1767-06,95.0
1767-07,92.0
1767-08,106.0
1767-09,106.0
1767-10,102.0
1767-11,112.0
1767-12,120.0
1768-01,118.0
1768-02,115.0
1768-03,126.0
1768-04,116.0
1768-05,127.0
1768-06,122.0
1768-07,115.0
1768-08,98.0
1768-09,94.0
1768-10,90.0
1768-11,97.0
1768-12,92.0
1769-01,83.0
1769-02,81.0
1769-03,80.0
1769-04,72.0
1769-05,65.0
1769-06,69.0
1769-07,56.0
1769-08,57.0
1769-09,56.0
1769-10,40.0
1769-11,34.0
1769-12,30.0
