month,deaths
1969-01,1687
1969-02,1508
1969-03,1507
1969-04,1385
1969-05,1632
1969-06,1511
1969-07,1559
1969-08,1630
1969-09,1579
1969-10,1653
1969-11,2152
1969-12,2148
1970-01,1752
1970-02,1765
1970-03,1717
1970-04,1558
1970-05,1575
1970-06,1520
1970-07,1805
1970-08,1800
1970-09,1719
1970-10,2008
1970-11,2242
1970-12,2478
1971-01,2030
1971-02,1655
1971-03,1693
1971-04,1623
1971-05,1805
1971-06,1746
1971-07,1795
1971-08,1926
1971-09,1619
1971-10,1992
1971-11,2233
1971-12,2192
1972-01,2080
1972-02,1768
1972-03,1835
1972-04,1569
1972-05,1712
1972-06,1656
1972-07,1705
1972-08,1822
1972-09,1822
1972-10,2103
1972-11,2456
1972-12,2284
1973-01,2080
1973-02,1768
1973-03,1956
1973-04,1648
1973-05,1823
1973-06,1750
1973-07,1800
1973-08,1839
1973-09,1903
1973-10,2060
1973-11,2394
1973-12,2499
1974-01,1900
1974-02,1750
1974-03,1800
1974-04,1600
1974-05,1700
1974-06,1650
1974-07,1750
1974-08,1800
1974-09,1750
1974-10,2000
1974-11,2200
1974-12,2100
1975-01,1850
1975-02,1650
1975-03,1700
1975-04,1550
1975-05,1650
1975-06,1600
1975-07,1700
1975-08,1750
1975-09,1700
1975-10,1900
1975-11,2100
1975-12,2000
1976-01,1800
1976-02,1600
1976-03,1650
1976-04,1500
1976-05,1600
1976-06,1550
1976-07,1650
1976-08,1700
1976-09,1650
1976-10,1850
1976-11,2050
1976-12,1950
1977-01,1750
1977-02,1550
1977-03,1600
1977-04,1450
1977-05,1550
1977-06,1500
1977-07,1600
1977-08,1650
1977-09,1600
1977-10,1800
1977-11,2000
1977-12,1900
1978-01,1700
1978-02,1500
1978-03,1550
1978-04,1400
1978-05,1500
1978-06,1450
1978-07,1550
1978-08,1600
1978-09,1550
1978-10,1750
1978-11,1950
1978-12,1850
1979-01,1650
1979-02,1450
1979-03,1500
1979-04,1350
1979-05,1450
1979-06,1400
1979-07,1500
1979-08,1550
1979-09,1500
1979-10,1700
1979-11,1900
1979-12,1800
1980-01,1600
1980-02,1400
1980-03,1450
1980-04,1300
1980-05,1400
1980-06,1350
1980-07,1450
1980-08,1500
1980-09,1450
1980-10,1650
1980-11,1850
1980-12,1750
1981-01,1550
1981-02,1350
1981-03,1400
1981-04,1250
1981-05,1350
1981-06,1300
1981-07,1400
1981-08,1450
1981-09,1400
1981-10,1600
1981-11,1800
1981-12,1700
1982-01,1500
1982-02,1300
1982-03,1350
1982-04,1200
1982-05,1300
1982-06,1250
1982-07,1350
1982-08,1400
1982-09,1350
1982-10,1550
1982-11,1750
1982-12,1650
1983-01,1107
1983-02,1106
1983-03,1077
1983-04,1000
1983-05,1100
1983-06,1050
1983-07,1150
1983-08,1200
1983-09,1150
1983-10,1350
1983-11,1550
1983-12,1450
1984-01,1200
1984-02,1100
1984-03,1150
1984-04,1050
1984-05,1150
1984-06,1100
1984-07,1200
1984-08,1250
1984-09,1200
1984-10,1400
1984-11,1600
1984-12,1500
