date,rate
1999-01-04,1.1839
1999-01-05,1.1806
1999-01-06,1.1722
1999-01-07,1.1669
1999-01-08,1.1678
1999-01-11,1.1737
1999-01-12,1.1632
1999-01-13,1.1571
1999-01-14,1.159
1999-01-15,1.1594
1999-01-18,1.1554
1999-01-19,1.1638
1999-01-20,1.1653
1999-01-21,1.1631
1999-01-22,1.1684
1999-01-25,1.1655
1999-01-26,1.1769
1999-01-27,1.1746
1999-01-28,1.1859
1999-01-29,1.1933
1999-02-01,1.1904
1999-02-02,1.1908
1999-02-03,1.1889
1999-02-04,1.1893
1999-02-05,1.1893
1999-02-08,1.183
1999-02-09,1.1858
1999-02-10,1.1881
1999-02-11,1.1794
1999-02-12,1.179
1999-02-15,1.1787
1999-02-16,1.181
1999-02-17,1.1798
1999-02-18,1.1813
1999-02-19,1.1761
1999-02-22,1.1849
1999-02-23,1.1866
1999-02-24,1.1904
1999-02-25,1.1909
1999-02-26,1.1876
1999-03-01,1.1904
1999-03-02,1.1929
1999-03-03,1.1869
1999-03-04,1.1818
1999-03-05,1.181
1999-03-08,1.1794
1999-03-09,1.1788
1999-03-10,1.1813
1999-03-11,1.1768
1999-03-12,1.1751
1999-03-15,1.1751
1999-03-16,1.1686
1999-03-17,1.166
1999-03-18,1.1645
1999-03-19,1.1627
1999-03-22,1.1622
1999-03-23,1.1702
1999-03-24,1.176
1999-03-25,1.1761
1999-03-26,1.1763
1999-03-29,1.1756
1999-03-30,1.1725
1999-03-31,1.1704
1999-04-01,1.1766
1999-04-02,1.1777
1999-04-05,1.1773
1999-04-06,1.1765
1999-04-07,1.1754
1999-04-08,1.1761
1999-04-09,1.1714
1999-04-12,1.1757
1999-04-13,1.1783
1999-04-14,1.1767
1999-04-15,1.1745
1999-04-16,1.1681
1999-04-19,1.174
1999-04-20,1.1774
1999-04-21,1.1701
1999-04-22,1.1625
1999-04-23,1.1639
1999-04-26,1.1668
1999-04-27,1.1708
1999-04-28,1.1697
1999-04-29,1.1722
1999-04-30,1.1738
1999-05-03,1.1742
1999-05-04,1.179
1999-05-05,1.1783
1999-05-06,1.1752
1999-05-07,1.1818
1999-05-10,1.1802
1999-05-11,1.1696
1999-05-12,1.1711
1999-05-13,1.1702
1999-05-14,1.1703
1999-05-17,1.1752
1999-05-18,1.173
1999-05-19,1.179
1999-05-20,1.1796
1999-05-21,1.1903
1999-05-24,1.1853
1999-05-25,1.1946
1999-05-26,1.2012
1999-05-27,1.1979
1999-05-28,1.1976
1999-05-31,1.1993
1999-06-01,1.2106
1999-06-02,1.2102
1999-06-03,1.2085
1999-06-04,1.2086
1999-06-07,1.2089
1999-06-08,1.2047
1999-06-09,1.1918
1999-06-10,1.1972
1999-06-11,1.2057
1999-06-14,1.2009
1999-06-15,1.2074
1999-06-16,1.2107
1999-06-17,1.2044
1999-06-18,1.1995
1999-06-21,1.2105
1999-06-22,1.2116
1999-06-23,1.2118
1999-06-24,1.212
1999-06-25,1.2075
1999-06-28,1.2007
1999-06-29,1.2002
1999-06-30,1.1981
1999-07-01,1.1989
1999-07-02,1.2051
1999-07-05,1.1987
1999-07-06,1.1936
1999-07-07,1.2009
1999-07-08,1.2015
1999-07-09,1.2026
1999-07-12,1.207
1999-07-13,1.2103
1999-07-14,1.2151
1999-07-15,1.2149
1999-07-16,1.2219
1999-07-19,1.2214
1999-07-20,1.2238
1999-07-21,1.2218
1999-07-22,1.2255
1999-07-23,1.221
1999-07-26,1.2364
1999-07-27,1.228
1999-07-28,1.2226
1999-07-29,1.2137
1999-07-30,1.2026
1999-08-02,1.1969
1999-08-03,1.1973
1999-08-04,1.1968
1999-08-05,1.2005
1999-08-06,1.2053
1999-08-09,1.2021
1999-08-10,1.1956
1999-08-11,1.186
